Benchmark: quadratic, Optimization: liveness_dce, Percentage Decrease: 0.25%
Benchmark: quadratic, Optimization: const_then_live_dce, Percentage Decrease: 0.51%
Benchmark: primes-between, Optimization: liveness_dce, Percentage Decrease: 0.17%
Benchmark: primes-between, Optimization: const_then_live_dce, Percentage Decrease: 0.64%
Benchmark: birthday, Optimization: liveness_dce, Percentage Decrease: 0.21%
Benchmark: birthday, Optimization: const_then_live_dce, Percentage Decrease: 0.62%
Benchmark: orders, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: orders, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: sum-check, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: sum-check, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: palindrome, Optimization: liveness_dce, Percentage Decrease: 1.01%
Benchmark: palindrome, Optimization: const_then_live_dce, Percentage Decrease: 1.01%
Benchmark: totient, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: totient, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: relative-primes, Optimization: liveness_dce, Percentage Decrease: 0.47%
Benchmark: relative-primes, Optimization: const_then_live_dce, Percentage Decrease: 0.57%
Benchmark: hanoi, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: hanoi, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
Benchmark: is-decreasing, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: is-decreasing, Optimization: const_then_live_dce, Percentage Decrease: 2.36%
Benchmark: check-primes, Optimization: liveness_dce, Percentage Decrease: 0.58%
Benchmark: check-primes, Optimization: const_then_live_dce, Percentage Decrease: 1.16%
Benchmark: sum-sq-diff, Optimization: liveness_dce, Percentage Decrease: 0.07%
Benchmark: sum-sq-diff, Optimization: const_then_live_dce, Percentage Decrease: 0.20%
Benchmark: fitsinside, Optimization: liveness_dce, Percentage Decrease: 0.00%
Benchmark: fitsinside, Optimization: const_then_live_dce, Percentage Decrease: 0.00%
